route_id,service_id,trip_headsign,direction_id,shape_id,trip_id
GOV_MIN_211,Ground_Daily,Kafr Tuhurmis,1,,GOV_MIN_211_1
GOV_MIN_220,Ground_Daily,Al Ismailiya Square,0,,GOV_MIN_220_0
GOV_MIN_220,Ground_Daily,Rehab Square,1,,GOV_MIN_220_1
GOV_MIN_226,Ground_Daily,Al Ahly Sporting Club,0,,GOV_MIN_226_0
GOV_MIN_226,Ground_Daily,Lebanon Square,1,,GOV_MIN_226_1
GOV_MIN_255,Ground_Daily,Ramses,0,,GOV_MIN_255_0
GOV_MIN_255,Ground_Daily,Abou Zaabal,1,,GOV_MIN_255_1
GOV_MIN_303,Ground_Daily,Mamaleek (Al Manial),0,,GOV_MIN_303_0
GOV_MIN_303,Ground_Daily,Moasasset Al Zakah,1,,GOV_MIN_303_1
GOV_MIN_314,Ground_Daily,Rehab Square,0,,GOV_MIN_314_0
GOV_MIN_314,Ground_Daily,Rod Al Farag Metro Station,1,,GOV_MIN_314_1
GOV_MIN_333,Ground_Daily,Port Said Square (Maadi),0,,GOV_MIN_333_0
GOV_MIN_333,Ground_Daily,Al Kahraba St. (Nasr City),1,,GOV_MIN_333_1
GOV_MIN_355,Ground_Daily,Al Khanka (Al Salam Rd.),0,,GOV_MIN_355_0
GOV_MIN_355,Ground_Daily,Ataba,1,,GOV_MIN_355_1
GOV_MIN_404,Ground_Daily,Bashtil (Ring Rd.),0,,GOV_MIN_404_0
GOV_MIN_404,Ground_Daily,Al Gezira (Al Moqattam),1,,GOV_MIN_404_1
GOV_MIN_424,Ground_Daily,Al Omraneyya,0,,GOV_MIN_424_0
GOV_MIN_424,Ground_Daily,Al Zawya Al Hamra,1,,GOV_MIN_424_1
GOV_MIN_505,Ground_Daily,Ard Al Lewa Steps (26th of July Corridor),0,,GOV_MIN_505_0
GOV_MIN_505,Ground_Daily,Military Academy Stadium (Sheraton),1,,GOV_MIN_505_1
GOV_MIN_606,Ground_Daily,Waha Garage (Nasr City),0,,GOV_MIN_606_0
GOV_MIN_606,Ground_Daily,Al Habib Mosque (Al Barageel),1,,GOV_MIN_606_1
GOV_MIN_616,Ground_Daily,Kobry Al Qobba,0,,GOV_MIN_616_0
GOV_MIN_616,Ground_Daily,Al Mothalath (Ahmed Al Zomor St.),1,,GOV_MIN_616_1
GOV_MIN_700,Ground_Daily,Zewail Rd. (Wahat Rd.),0,,GOV_MIN_700_0
GOV_MIN_700,Ground_Daily,Al Qanater Al Khayriya,1,,GOV_MIN_700_1
GOV_MIN_702,Ground_Daily,Ahmed Helmy,0,,GOV_MIN_702_0
GOV_MIN_702,Ground_Daily,Haram & Marioteya,1,,GOV_MIN_702_1
GOV_MIN_755,Ground_Daily,Saqr Quraish,0,,GOV_MIN_755_0
GOV_MIN_755,Ground_Daily,Om Bayoumi,1,,GOV_MIN_755_1
GOV_MIN_2002,Ground_Daily,Hadabet Al Ahram,0,,GOV_MIN_2002_0
GOV_MIN_2002,Ground_Daily,Shubra El-Kheima,1,,GOV_MIN_2002_1
GOV_MIN_2003,Ground_Daily,Misr University for Sciences and Technology (MUST),0,,GOV_MIN_2003_0
GOV_MIN_2003,Ground_Daily,Qalyub,1,,GOV_MIN_2003_1
GOV_MIN_7 M,Ground_Daily,Abd Al Moneim Riad,0,,GOV_MIN_7 M_0
GOV_MIN_7 M,Ground_Daily,Mankaraa Gate (Hadayek Al Ahram),1,,GOV_MIN_7 M_1
GOV_CTA_123,Ground_Daily,Abd Al Moneim Riad,0,,GOV_CTA_123_0
GOV_CTA_123,Ground_Daily,Mazlaqan Om Khinan (Al Hawamdeyya),1,,GOV_CTA_123_1
GOV_CTA_160/,Ground_Daily,Abd Al Moneim Riad,0,,GOV_CTA_160/_0
GOV_CTA_160/,Ground_Daily,Saqr Quraish,1,,GOV_CTA_160/_1
GOV_CTA_222,Ground_Daily,Amiriyyah,0,,GOV_CTA_222_0
GOV_CTA_222,Ground_Daily,Al Warraq,1,,GOV_CTA_222_1
