route_id,agency_id,route_long_name,route_short_name,route_type,continuous_pickup,continuous_drop_off
GOV_MIN_140,GOV_CTA_M,Mohamed Naguib Metro Station - Rehab Square,Minibus 140,3,1,1
GOV_MIN_145,GOV_CTA_M,Moasasset Al Zakah - Al Toob Al Ramly,Minibus 145,3,1,1
GOV_MIN_149,GOV_CTA_M,El-Qawmia - Basateen,Minibus 149,3,1,1
GOV_MIN_153,GOV_CTA_M,Zahraa Ain Shams - 10th District (Nasr City),Minibus 153,3,1,1
GOV_MIN_202,GOV_CTA_M,Arab Tuweila - Al Darraasa,Minibus 202,3,1,1
GOV_MIN_203,GOV_CTA_M,Abbassia - Al Omraneyya,Minibus 203,3,1,1
GOV_MIN_211,GOV_CTA_M,Kafr Tuhurmis - Suez Bridge Entrance to Ring Road,Minibus 211,3,1,1
GOV_MIN_220,GOV_CTA_M,Rehab Square - Al Ismailiya Square,Minibus 220,3,1,1
GOV_MIN_226,GOV_CTA_M,Lebanon Square - Al Ahly Sporting Club,Minibus 226,3,1,1
GOV_MIN_255,GOV_CTA_M,Abou Zaabal - Ramses,Minibus 255,3,1,1
GOV_MIN_303,GOV_CTA_M,Moasasset Al Zakah - Mamaleek (Al Manial),Minibus 303,3,1,1
GOV_MIN_314,GOV_CTA_M,Rod Al Farag Metro Station - Rehab Square,Minibus 314,3,1,1
GOV_MIN_333,GOV_CTA_M,Al Kahraba St. (Nasr City) - Port Said Square (Maadi),Minibus 333,3,1,1
GOV_MIN_355,GOV_CTA_M,Ataba - Al Khanka (Al Salam Rd.),Minibus 355,3,1,1
GOV_MIN_404,GOV_CTA_M,Al Gezira (Al Moqattam) - Bashtil (Ring Rd.),Minibus 404,3,1,1
GOV_MIN_424,GOV_CTA_M,Al Zawya Al Hamra - Al Omraneyya,Minibus 424,3,1,1
GOV_MIN_505,GOV_CTA_M,Military Academy Stadium (Sheraton) - Ard Al Lewa Steps (26th of July Corridor),Minibus 505,3,1,1
GOV_MIN_606,GOV_CTA_M,Al Habib Mosque (Al Barageel) - Waha Garage (Nasr City),Minibus 606,3,1,1
GOV_MIN_616,GOV_CTA_M,Al Mothalath (Ahmed Al Zomor St.) - Kobry Al Qobba,Minibus 616,3,1,1
GOV_MIN_700,GOV_CTA_M,Al Qanater Al Khayriya - Zewail Rd. (Wahat Rd.),Minibus 700,3,1,1
GOV_MIN_702,GOV_CTA_M,Haram & Marioteya - Ahmed Helmy,Minibus 702,3,1,1
GOV_MIN_755,GOV_CTA_M,Om Bayoumi - Saqr Quraish,Minibus 755,3,1,1
GOV_MIN_2002,GOV_CTA_M,Shubra El-Kheima - Hadabet Al Ahram,Minibus 2002,3,1,1
GOV_MIN_2003,GOV_CTA_M,Qalyub - Misr University for Sciences and Technology (MUST),Minibus 2003,3,1,1
GOV_MIN_7 M,GOV_CTA_M,Mankaraa Gate (Hadayek Al Ahram) - Abd Al Moneim Riad,Minibus 7 M,3,1,1
GOV_CTA_123,GOV_CTA,Mazlaqan Om Khinan (Al Hawamdeyya) - Abd Al Moneim Riad,CTA 123,3,1,1
GOV_CTA_160/,GOV_CTA,Saqr Quraish - Abd Al Moneim Riad,CTA 160/,3,1,1
GOV_CTA_222,GOV_CTA,Al Warraq - Amiriyyah,CTA 222,3,1,1
GOV_CTA_366,GOV_CTA,Cairo Airport - Ahmed Helmy,CTA 366,3,1,1
GOV_CTA_573,GOV_CTA,Moneeb Station - Gardenia (Cairo Suez Rd.),CTA 573,3,1,1
GOV_CTA_582,GOV_CTA,Ahmed Saaed Bridge Exit - Al Shaheed Corridor,CTA 582,3,1,1
GOV_CTA_912,GOV_CTA,Giza Square - Naguib Mahfouz Square (1st Settlement),CTA 912,3,1,1
GOV_CTA_955,GOV_CTA,El Haykestep - Abd Al Moneim Riad,CTA 955,3,1,1
GOV_CTA_988,GOV_CTA,Badrashen - Ramses,CTA 988,3,1,1
GOV_CTA_997,GOV_CTA,Al Kahraba St. (Nasr City) - Port Said St. (Al Sawah),CTA 997,3,1,1
GOV_CTA_13 - 25,GOV_CTA,Abbassia - Abd Al Moneim Riad,CTA 13 - 25,3,1,1
GOV_CTA_1011,GOV_CTA,Masaken Almaza - Moneeb Station,CTA 1011,3,1,1
GOV_CTA_1017,GOV_CTA,Ard Al Lewa Steps (26th of July Corridor) - Shubra El-Kheima,CTA 1017,3,1,1
GOV_CTA_1031,GOV_CTA,Masaken Betcho - Imbaba,CTA 1031,3,1,1
GOV_CTA_1035,GOV_CTA,Shubra El-Kheima - Abbaseya,CTA 1035,3,1,1
GOV_CTA_1052,GOV_CTA,Al Qanater Al Khayriya - Al Mazallaat ( Shubra),CTA 1052,3,1,1
GOV_CTA_1085,GOV_CTA,Al Gezira (Al Moqattam) - Bulaq Al Dakrur,CTA 1085,3,1,1
GOV_CTA_1103,GOV_CTA,Shubra El-Kheima - Naguib Mahfouz Square (1st Settlement),CTA 1103,3,1,1
GOV_CTA_1125,GOV_CTA,Warraq Al Arab - Abbassia,CTA 1125,3,1,1
GOV_CTA_1127,GOV_CTA,Bulaq Al Dakrur - 3rd Settlement Station,CTA 1127,3,1,1
GOV_CTA_1142,GOV_CTA,Asmarat - Giza Square,CTA 1142,3,1,1
GOV_CTA_1145,GOV_CTA,Al Kahraba St. (Nasr City) - Al Mazallaat ( Shubra),CTA 1145,3,1,1
GOV_CTA_1153,GOV_CTA,Helwan Metro - Abd Al Moneim Riad,CTA 1153,3,1,1
